query_id,node_id,source_fresh_id,source_version_id,source_version_number,source_relative_class_path,github_repo,snapshot_commit,snapshot_ref,snapshot_resolution,snapshot_exact_release_claim,java_path,java_mapping_status,java_candidate_count,source_resolvable,high_confidence_mapping
Q6K00350,Q6K00350_N01,FMOD0022,YTi50SXM,26.07.01-1.21.11-fabric,com/axperty/storagedelight/block/BookshelfDoorBlock.class,https://github.com/axperty/storagedelight,6367312e101068439e01426a0e787da8d4d401a5,,DATE_HEURISTIC,False,src/main/java/com/axperty/storagedelight/block/BookshelfDoorBlock.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00350,Q6K00350_N02,FMOD0083,OkGF8Kho,0.1.10,io/wispforest/accessories_compat/curios/CuriosCompat.class,https://github.com/wisp-forest/accessories-compat-layer,8ae9312413a930deb1fb15154b5ba71916b27001,,DATE_HEURISTIC,False,common/src/main/java/io/wispforest/accessories_compat/curios/CuriosCompat.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00350,Q6K00350_N03,FMOD0053,gTF5QTWo,1.21.11-fabric-2,io/github/lgatodu47/screenshot_viewer/mixin/ScreenshotRecorderMixin.class,https://github.com/LGatodu47/ScreenshotViewer,698288d7542b90a631e9562b58b7fcccd250caaa,,DATE_HEURISTIC,False,src/main/java/io/github/lgatodu47/screenshot_viewer/mixin/ScreenshotRecorderMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00350,Q6K00350_N04,FMOD0053,gTF5QTWo,1.21.11-fabric-2,io/github/lgatodu47/screenshot_viewer/ScreenshotViewerMacOsUtils.class,https://github.com/LGatodu47/ScreenshotViewer,698288d7542b90a631e9562b58b7fcccd250caaa,,DATE_HEURISTIC,False,src/main/java/io/github/lgatodu47/screenshot_viewer/ScreenshotViewerMacOsUtils.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00350,Q6K00350_N06,FMOD0022,YTi50SXM,26.07.01-1.21.11-fabric,com/axperty/storagedelight/block/entity/CabinetCountertopBlockEntity.class,https://github.com/axperty/storagedelight,6367312e101068439e01426a0e787da8d4d401a5,,DATE_HEURISTIC,False,src/main/java/com/axperty/storagedelight/block/entity/CabinetCountertopBlockEntity.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00351,Q6K00351_N02,FMOD0005,T1v8YBHE,0.6.3,net/Realism/gui/TrainSettingsGui$6.class,https://github.com/stacode123/CreateRealism,4ac288ca26e7178ed2636b17c7875770bb8d2d94,,DATE_HEURISTIC,False,common/src/main/java/net/Realism/gui/TrainSettingsGui.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00351,Q6K00351_N03,FMOD0022,vRadvyPG,26.07.01-1.21.9-fabric,com/axperty/storagedelight/block/entity/CabinetVariantBlockEntity.class,https://github.com/axperty/storagedelight,6367312e101068439e01426a0e787da8d4d401a5,,DATE_HEURISTIC,False,src/main/java/com/axperty/storagedelight/block/entity/CabinetVariantBlockEntity.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00351,Q6K00351_N04,FMOD0099,cOTJKyN0,1.9.1+1.19,dev/sapphic/couplings/impl/DoorBlockCoupling.class,https://github.com/ChloeDawn/Couplings,f9d06856955b3d63469085f02e9d29b24ebab72d,1.9.1+1.19,EXACT_NORMALIZED_TAG,True,src/main/java/dev/sapphic/couplings/impl/DoorBlockCoupling.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00351,Q6K00351_N06,FMOD0005,T1v8YBHE,0.6.3,net/Realism/gui/TrainSettingsGui.class,https://github.com/stacode123/CreateRealism,4ac288ca26e7178ed2636b17c7875770bb8d2d94,,DATE_HEURISTIC,False,common/src/main/java/net/Realism/gui/TrainSettingsGui.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00351,Q6K00351_N07,FMOD0099,cOTJKyN0,1.9.1+1.19,dev/sapphic/couplings/impl/TrapdoorBlockCoupling.class,https://github.com/ChloeDawn/Couplings,f9d06856955b3d63469085f02e9d29b24ebab72d,1.9.1+1.19,EXACT_NORMALIZED_TAG,True,src/main/java/dev/sapphic/couplings/impl/TrapdoorBlockCoupling.java,EXACT_PACKAGE_SUFFIX,1,True,True
