query_id,parent_count,method,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0054,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0054,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0054,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0054,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0055,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0055,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0055,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0055,2,MEAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0055,2,MEDIAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0055,2,MEAN_RANK,0.16666666666666666,0.5,0.5,0.5,False,False
Q0056,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0056,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0056,2,SINGLE_CONTEXT,0.8333333333333334,1.0,1.0,1.0,True,False
Q0056,2,MEAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0056,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0056,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0057,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0057,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0057,2,SINGLE_CONTEXT,1.0,1.0,1.0,1.0,True,True
Q0057,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
