fresh_id,frozen_split,version_id,version_number,jar_filename,code_nodes,class_ref_edges,connected_components,largest_component_size,largest_component_rate,hard_code_nodes,strict_code_nodes,max_hard_in_one_component,max_strict_in_one_component,hard_coverage_by_best_component,strict_coverage_by_best_component,best_hard_component_size,best_hard_connector_count,eligible_hard_h3,eligible_hard_h5,eligible_hard_h10,eligible_strict_h3,eligible_strict_h5
FMOD0095,TEST_KNOWN,kUshmwjV,1.8.1+mod,expanded-mace-enchantings-1.8.jar,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0096,TEST_KNOWN,hEkqP6wM,3.3.7,guitween-fabric-26.2-3.3.7.jar,66,156,5,62,0.9393939393939394,3,1,3,1,1.0,1.0,62,59,True,False,False,False,False
FMOD0096,TEST_KNOWN,tpwiWcRi,3.3.7-beta-1,guitween-fabric-26.2-3.3.7-beta-1.jar,61,142,5,57,0.9344262295081968,2,1,2,1,1.0,1.0,57,55,False,False,False,False,False
FMOD0096,TEST_KNOWN,yhbCh01w,3.3.7,guitween-3.3.7-26.1+fabric.jar,64,149,5,60,0.9375,8,3,8,3,1.0,1.0,60,52,True,True,False,True,False
FMOD0097,CALIBRATION_KNOWN,VgGIJdPS,1.1.5+mc1.21.8-fabric,AdachiRei-nui-fabric-mc1.21.8-v1.1.5.jar,18,34,1,18,1.0,8,0,8,0,1.0,0.0,18,10,True,True,False,False,False
FMOD0097,CALIBRATION_KNOWN,HYm0AuOT,1.1.5+mc1.21.7-fabric,AdachiRei-nui-fabric-mc1.21.7-v1.1.5.jar,18,34,1,18,1.0,8,0,8,0,1.0,0.0,18,10,True,True,False,False,False
FMOD0097,CALIBRATION_KNOWN,jlsoSvM2,1.1.5+mc1.21.6-fabric,AdachiRei-nui-fabric-mc1.21.6-v1.1.5.jar,18,34,1,18,1.0,8,0,8,0,1.0,0.0,18,10,True,True,False,False,False
FMOD0099,TEST_KNOWN,v92fiDeM,1.9.3+1.19.4,Couplings-1.9.3+1.19.4.jar,13,10,4,10,0.7692307692307693,3,0,3,0,1.0,0.0,10,7,True,False,False,False,False
FMOD0099,TEST_KNOWN,zjKCIfjh,1.9.2+1.19.3,Couplings-1.9.2+1.19.3.jar,13,10,4,10,0.7692307692307693,3,0,3,0,1.0,0.0,10,7,True,False,False,False,False
FMOD0099,TEST_KNOWN,cOTJKyN0,1.9.1+1.19,Couplings-1.9.1+1.19.jar,13,10,4,10,0.7692307692307693,5,0,5,0,1.0,0.0,10,5,True,True,False,False,False
