gallery_scale_projects,concurrency,request_index,query_id,success,client_latency_ms,gallery_components,search_ms,reconstruction_ms,server_total_ms,error
20,1,48,Q6K00417,True,10.5825,16282,5.8696,1.0667,6.9626,
20,1,49,Q6K00474,True,20.8722,16282,5.3071,0.7002,6.0179,
20,1,50,Q6K00509,True,10.2341,16282,6.2869,0.8603,7.1654,
20,1,51,Q6K00386,True,7.0082,16282,4.5587,0.6649,5.2308,
20,1,52,Q6K00532,True,8.0252,16282,5.121,0.893,6.0246,
20,1,53,Q6K00292,True,19.7651,16282,5.5331,0.6764,6.2166,
20,1,54,Q6K00359,True,31.2038,16282,5.8508,0.6795,6.5394,
20,1,55,Q6K00330,True,30.4175,16282,5.7633,0.7076,6.4788,
20,1,56,Q6K00345,True,6.4053,16282,4.2534,0.5981,4.858,
20,1,57,Q6K00268,True,25.2183,16282,5.2021,0.9871,6.1983,
20,1,58,Q6K00212,True,32.9627,16282,7.5305,0.6922,8.2319,
20,1,59,Q6K00315,True,28.7704,16282,6.163,0.6623,6.8332,
20,1,60,Q6K00538,True,29.6821,16282,4.8217,0.7067,5.5366,
20,1,61,Q6K00492,True,6.6012,16282,3.9714,0.8934,4.871,
20,1,62,Q6K00530,True,6.827,16282,4.6293,0.6663,5.3027,
20,1,63,Q6K00434,True,31.9855,16282,4.5566,0.6832,5.2489,
20,1,64,Q6K00511,True,6.4732,16282,4.1362,0.675,4.818,
20,1,65,Q6K00349,True,25.2164,16282,4.7563,0.7301,5.4946,
20,1,66,Q6K00283,True,6.8691,16282,4.4895,0.6964,5.1929,
20,1,67,Q6K00240,True,24.7357,16282,5.0317,0.7756,5.8151,
20,1,68,Q6K00386,True,31.5809,16282,5.7685,0.7576,6.5341,
20,1,69,Q6K00320,True,8.7238,16282,4.4721,0.6607,5.1461,
20,1,70,Q6K00238,True,18.5049,16282,4.4656,0.5777,5.0508,
20,1,71,Q6K00351,True,33.6798,16282,6.3373,0.6707,7.0157,
20,1,72,Q6K00407,True,7.3628,16282,4.4654,0.6739,5.1458,
20,1,73,Q6K00338,True,6.2429,16282,3.9656,0.6171,4.5891,
20,1,74,Q6K00524,True,6.3469,16282,4.0727,0.8007,4.8795,
20,1,75,Q6K00484,True,6.2796,16282,4.2277,0.588,4.8225,
20,1,76,Q6K00462,True,5.7785,16282,3.9483,0.6114,4.5656,
20,1,77,Q6K00259,True,6.3072,16282,3.9981,0.7055,4.7097,
20,1,78,Q6K00416,True,21.1901,16282,4.3466,0.5907,4.9433,
20,1,79,Q6K00480,True,6.319,16282,3.9453,0.6671,4.618,
20,1,80,Q6K00250,True,26.3922,16282,5.3057,0.6423,5.9559,
20,1,81,Q6K00444,True,30.8129,16282,5.4945,0.673,6.1757,
20,1,82,Q6K00356,True,33.1248,16282,6.9897,0.6428,7.6407,
20,1,83,Q6K00303,True,27.7893,16282,5.5589,0.6872,6.2533,
20,1,84,Q6K00239,True,32.3722,16282,6.0805,0.5942,6.6821,
20,1,85,Q6K00394,True,7.2046,16282,4.902,0.6423,5.5505,
20,1,86,Q6K00213,True,5.911,16282,3.9757,0.608,4.5898,
20,1,87,Q6K00454,True,31.0471,16282,4.5183,0.6573,5.1823,
20,1,88,Q6K00198,True,6.2118,16282,3.9973,0.692,4.6965,
20,1,89,Q6K00390,True,25.3224,16282,4.4691,0.7856,5.2619,
20,1,90,Q6K00523,True,34.1948,16282,6.6096,0.6189,7.2358,
20,1,91,Q6K00524,True,32.7008,16282,8.1053,0.7271,8.8419,
20,1,92,Q6K00337,True,6.7524,16282,4.3219,0.7121,5.0406,
20,1,93,Q6K00341,True,6.2869,16282,4.1025,0.6596,4.769,
20,1,94,Q6K00303,True,6.1673,16282,4.026,0.7078,4.7398,
20,1,95,Q6K00472,True,23.4006,16282,4.7222,0.7168,5.4461,
20,1,96,Q6K00346,True,7.2399,16282,4.1213,0.7474,4.8765,
20,1,97,Q6K00382,True,6.8708,16282,4.0456,0.6496,4.7016,
20,1,98,Q6K00384,True,35.8669,16282,7.5003,1.3038,8.8175,
20,1,99,Q6K00426,True,31.3207,16282,7.4808,1.2231,8.7165,
20,1,100,Q6K00468,True,29.1468,16282,5.2587,0.856,6.1223,
20,1,101,Q6K00493,True,32.7269,16282,5.8637,0.6255,6.4982,
20,1,102,Q6K00300,True,30.1231,16282,5.9809,0.6388,6.6276,
20,1,103,Q6K00335,True,31.8226,16282,7.2302,0.7495,7.9901,
20,1,104,Q6K00471,True,30.8676,16282,6.3834,0.6854,7.0777,
20,1,105,Q6K00470,True,6.6508,16282,3.9564,0.6377,4.6004,
20,1,106,Q6K00402,True,20.8683,16282,4.2421,0.6104,4.8593,
20,1,107,Q6K00365,True,30.6799,16282,4.2188,0.6057,4.8313,
20,1,108,Q6K00462,True,36.093,16282,8.3325,0.7262,9.0685,
20,1,109,Q6K00243,True,7.1153,16282,4.4472,0.6246,5.079,
20,1,110,Q6K00239,True,6.1342,16282,4.1374,0.5897,4.7341,
20,1,111,Q6K00512,True,5.818,16282,3.856,0.6792,4.5409,
20,1,112,Q6K00190,True,23.3018,16282,5.3187,0.7023,6.0283,
20,1,113,Q6K00501,True,6.2407,16282,4.1363,0.6087,4.7523,
20,1,114,Q6K00453,True,6.3138,16282,4.2831,0.6013,4.8904,
20,1,115,Q6K00201,True,5.6517,16282,3.8628,0.6077,4.4767,
20,1,116,Q6K00346,True,6.229,16282,3.8563,0.8256,4.6877,
20,1,117,Q6K00299,True,21.3693,16282,4.2274,0.6255,4.8613,
20,1,118,Q6K00462,True,6.1061,16282,4.007,0.623,4.6356,
20,1,119,Q6K00486,True,6.3363,16282,4.3554,0.6325,4.9951,
20,1,120,Q6K00411,True,6.181,16282,4.0334,0.8297,4.8745,
20,1,121,Q6K00538,True,6.0498,16282,3.8914,0.6175,4.5149,
20,1,122,Q6K00196,True,5.9754,16282,3.9275,0.8065,4.74,
20,1,123,Q6K00410,True,5.6645,16282,3.8472,0.6192,4.472,
