query_id,scenario,k_true,known_true_parent_count,known_true_parents_covered,known_parent_recall,all_known_true_parents_present,candidate_pool
Q11A0084,MU_1K3U,2,1,1,1.0,True,"[""FMOD0036"", ""FMOD0055"", ""FMOD0023"", ""FMOD0079"", ""FMOD0035"", ""FMOD0102"", ""FMOD0040"", ""FMOD0120"", ""FMOD0053"", ""FMOD0051""]"
Q11A0085,MU_1K3U,2,1,1,1.0,True,"[""FMOD0096"", ""FMOD0035"", ""FMOD0023"", ""FMOD0055"", ""FMOD0120"", ""FMOD0069"", ""FMOD0113"", ""FMOD0119"", ""FMOD0079"", ""FMOD0043""]"
Q11A0086,MU_1K3U,2,1,1,1.0,True,"[""FMOD0077"", ""FMOD0023"", ""FMOD0069"", ""FMOD0091"", ""FMOD0035"", ""FMOD0025"", ""FMOD0119"", ""FMOD0067"", ""FMOD0113"", ""FMOD0120""]"
Q11A0087,MU_1K3U,2,1,1,1.0,True,"[""FMOD0083"", ""FMOD0035"", ""FMOD0102"", ""FMOD0119"", ""FMOD0069"", ""FMOD0025"", ""FMOD0077"", ""FMOD0004"", ""FMOD0079"", ""FMOD0023""]"
Q11A0088,MU_1K3U,2,1,1,1.0,True,"[""FMOD0050"", ""FMOD0120"", ""FMOD0055"", ""FMOD0023"", ""FMOD0102"", ""FMOD0086"", ""FMOD0119"", ""FMOD0005"", ""FMOD0035"", ""FMOD0013""]"
Q11A0089,MU_1K3U,2,1,1,1.0,True,"[""FMOD0044"", ""FMOD0035"", ""FMOD0023"", ""FMOD0069"", ""FMOD0120"", ""FMOD0119"", ""FMOD0079"", ""FMOD0110"", ""FMOD0036"", ""FMOD0102""]"
Q11A0090,MU_1K3U,2,1,1,1.0,True,"[""FMOD0005"", ""FMOD0089"", ""FMOD0023"", ""FMOD0102"", ""FMOD0035"", ""FMOD0120"", ""FMOD0069"", ""FMOD0079"", ""FMOD0110"", ""FMOD0036""]"
Q11A0091,MU_2K3U,3,2,2,1.0,True,"[""FMOD0023"", ""FMOD0025"", ""FMOD0110"", ""FMOD0119"", ""FMOD0102"", ""FMOD0120"", ""FMOD0035"", ""FMOD0069"", ""FMOD0077"", ""FMOD0055""]"
Q11A0092,MU_2K3U,3,2,2,1.0,True,"[""FMOD0061"", ""FMOD0036"", ""FMOD0119"", ""FMOD0089"", ""FMOD0120"", ""FMOD0035"", ""FMOD0102"", ""FMOD0079"", ""FMOD0055"", ""FMOD0069""]"
Q11A0093,MU_2K3U,3,2,2,1.0,True,"[""FMOD0077"", ""FMOD0083"", ""FMOD0120"", ""FMOD0119"", ""FMOD0102"", ""FMOD0069"", ""FMOD0035"", ""FMOD0055"", ""FMOD0036"", ""FMOD0005""]"
Q11A0094,MU_2K3U,3,2,2,1.0,True,"[""FMOD0011"", ""FMOD0087"", ""FMOD0023"", ""FMOD0120"", ""FMOD0079"", ""FMOD0119"", ""FMOD0102"", ""FMOD0069"", ""FMOD0035"", ""FMOD0036""]"
Q11A0095,MU_2K3U,3,2,2,1.0,True,"[""FMOD0040"", ""FMOD0074"", ""FMOD0120"", ""FMOD0069"", ""FMOD0035"", ""FMOD0036"", ""FMOD0119"", ""FMOD0102"", ""FMOD0079"", ""FMOD0023""]"
Q11A0096,MU_2K3U,3,2,2,1.0,True,"[""FMOD0043"", ""FMOD0074"", ""FMOD0102"", ""FMOD0120"", ""FMOD0119"", ""FMOD0079"", ""FMOD0110"", ""FMOD0031"", ""FMOD0035"", ""FMOD0023""]"
Q11A0097,MU_2K3U,3,2,2,1.0,True,"[""FMOD0044"", ""FMOD0016"", ""FMOD0035"", ""FMOD0119"", ""FMOD0069"", ""FMOD0023"", ""FMOD0102"", ""FMOD0120"", ""FMOD0079"", ""FMOD0005""]"
